,index,date,open,low,high,close,volume,symbol,vendor_name
1074,1074,2023-08-02 11:08:00,329.7,329.635,329.8,329.72,54264,MSFT,financial modeling prep
1075,1075,2023-08-02 11:07:00,329.37,329.368,329.71,329.68,56885,MSFT,financial modeling prep
1076,1076,2023-08-02 11:06:00,329.62,329.325,329.695,329.38,63911,MSFT,financial modeling prep
1077,1077,2023-08-02 11:05:00,329.73,329.45,329.7525,329.62,62451,MSFT,financial modeling prep
1078,1078,2023-08-02 11:04:00,328.9,328.87,329.73,329.73,88838,MSFT,financial modeling prep
1079,1079,2023-08-02 11:03:00,329.075,328.7119,329.11,328.91,89887,MSFT,financial modeling prep
1080,1080,2023-08-02 11:02:00,329.23,329.0661,329.26,329.09,51638,MSFT,financial modeling prep
1081,1081,2023-08-02 11:01:00,329.56,329.19,329.56,329.19,49079,MSFT,financial modeling prep
1082,1082,2023-08-02 11:00:00,329.14,329.1,329.68,329.58,69610,MSFT,financial modeling prep
1083,1083,2023-08-02 10:59:00,329.365,329.1,329.3799,329.17,62648,MSFT,financial modeling prep
1084,1084,2023-08-02 10:58:00,329.16,328.92,329.65,329.37,178613,MSFT,financial modeling prep
1085,1085,2023-08-02 10:57:00,329.33,329.08,329.455,329.145,58521,MSFT,financial modeling prep
1086,1086,2023-08-02 10:56:00,329.4,329.14,329.4462,329.3265,103855,MSFT,financial modeling prep
1087,1087,2023-08-02 10:55:00,329.66,329.38,329.68,329.415,161588,MSFT,financial modeling prep
1088,1088,2023-08-02 10:54:00,329.97,329.65,329.98,329.65,74569,MSFT,financial modeling prep
1089,1089,2023-08-02 10:53:00,330.08,329.88,330.16,329.95,36111,MSFT,financial modeling prep
1090,1090,2023-08-02 10:52:00,330.21,330.05,330.25,330.0843,41905,MSFT,financial modeling prep
1091,1091,2023-08-02 10:51:00,330.31,330.16,330.37,330.16,28832,MSFT,financial modeling prep
1092,1092,2023-08-02 10:50:00,330.12,330.0646,330.48,330.34,74215,MSFT,financial modeling prep
1093,1093,2023-08-02 10:49:00,329.99,329.9,330.16,330.14,51314,MSFT,financial modeling prep
1094,1094,2023-08-02 10:48:00,330.03,329.92,330.12,329.992,35534,MSFT,financial modeling prep
1095,1095,2023-08-02 10:47:00,330.09,329.97,330.199,330.045,47475,MSFT,financial modeling prep
1096,1096,2023-08-02 10:46:00,330.08,330.0282,330.2,330.03,32639,MSFT,financial modeling prep
1097,1097,2023-08-02 10:45:00,330.4399,330.05,330.5,330.08,41879,MSFT,financial modeling prep
1098,1098,2023-08-02 10:44:00,330.44,330.31,330.5195,330.43,23564,MSFT,financial modeling prep
1099,1099,2023-08-02 10:43:00,330.38,330.25,330.52,330.46,37115,MSFT,financial modeling prep
1100,1100,2023-08-02 10:42:00,330.332,330.23,330.48,330.37,45021,MSFT,financial modeling prep
1101,1101,2023-08-02 10:41:00,330.5467,330.2,330.56,330.36,47298,MSFT,financial modeling prep
1102,1102,2023-08-02 10:40:00,330.55,330.455,330.67,330.51,65462,MSFT,financial modeling prep
1103,1103,2023-08-02 10:39:00,330.45,330.44,330.69,330.5499,62149,MSFT,financial modeling prep
1104,1104,2023-08-02 10:38:00,330.345,330.33,330.5399,330.43,48736,MSFT,financial modeling prep
1105,1105,2023-08-02 10:37:00,330.02,330.01,330.5,330.37,60644,MSFT,financial modeling prep
1106,1106,2023-08-02 10:36:00,330.05,329.925,330.114,330.03,44074,MSFT,financial modeling prep
1107,1107,2023-08-02 10:35:00,330.26,330.04,330.35,330.04,63097,MSFT,financial modeling prep
1108,1108,2023-08-02 10:34:00,330.18,330.1,330.29,330.22,37675,MSFT,financial modeling prep
1109,1109,2023-08-02 10:33:00,330.13,330.0,330.37,330.16,67493,MSFT,financial modeling prep
1110,1110,2023-08-02 10:32:00,330.39,330.03,330.46,330.1199,40570,MSFT,financial modeling prep
1111,1111,2023-08-02 10:31:00,329.93,329.92,330.41,330.4,65924,MSFT,financial modeling prep
1112,1112,2023-08-02 10:30:00,330.05,329.81,330.05,329.89,81216,MSFT,financial modeling prep
1113,1113,2023-08-02 10:29:00,330.2465,329.95,330.28,330.07,126400,MSFT,financial modeling prep
1114,1114,2023-08-02 10:28:00,330.61,330.17,330.62,330.26,62800,MSFT,financial modeling prep
1115,1115,2023-08-02 10:27:00,330.86,330.55,330.9225,330.6,60131,MSFT,financial modeling prep
1116,1116,2023-08-02 10:26:00,330.82,330.79,330.98,330.87,49279,MSFT,financial modeling prep
1117,1117,2023-08-02 10:25:00,331.08,330.82,331.09,330.83,44758,MSFT,financial modeling prep
1118,1118,2023-08-02 10:24:00,330.97,330.9,331.13,331.0665,58882,MSFT,financial modeling prep
1119,1119,2023-08-02 10:23:00,330.95,330.7708,331.12,330.96,57150,MSFT,financial modeling prep
1120,1120,2023-08-02 10:22:00,331.065,330.93,331.21,330.95,52716,MSFT,financial modeling prep
1121,1121,2023-08-02 10:21:00,330.69,330.69,331.1952,331.07,57718,MSFT,financial modeling prep
1122,1122,2023-08-02 10:20:00,330.84,330.6601,330.91,330.7,53571,MSFT,financial modeling prep
1123,1123,2023-08-02 10:19:00,330.77,330.61,330.86,330.85,54478,MSFT,financial modeling prep
1124,1124,2023-08-02 10:18:00,330.4399,330.4399,330.8,330.7818,72913,MSFT,financial modeling prep
1125,1125,2023-08-02 10:17:00,330.2201,330.15,330.4934,330.4,45698,MSFT,financial modeling prep
1126,1126,2023-08-02 10:16:00,330.19,329.972,330.39,330.24,61791,MSFT,financial modeling prep
1127,1127,2023-08-02 10:15:00,329.8,329.75,330.19,330.19,82158,MSFT,financial modeling prep
